,date,tic,open,high,low,close,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence,news_relevance,sentiment,price_impact_potential,trend_direction,earnings_impact,investor_confidence,risk_profile_change
62,2024-10-29,MSFT,429.43609619140625,431.95001220703125,433.1700134277344,428.0,17644100.0,1.0,1.2804098436406548,431.6838466767143,408.7581485625435,51.953336430440544,60.53733601723418,5.204064152392599,424.60833129882815,419.95583190917966,19.75,0.835619337267617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2024-10-29,NFLX,759.4400024414062,759.4400024414062,763.8800048828125,751.1300048828125,3660400.0,1.0,15.26297065368999,777.4944309628411,683.9585719668464,59.59551255896044,115.06210962812821,25.690075028771354,723.8793334960938,697.7293334960938,19.75,0.835619337267617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2024-10-30,AAPL,229.2939910888672,230.10000610351562,233.47000122070312,232.61000061035156,47070900.0,2.0,1.8964035466654536,237.85985201036274,223.02414762342633,55.417055360797335,44.71515846982742,9.048848918397127,229.53099975585937,225.79250055948893,19.329999923706055,4.959308240604375,2.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
63,2024-10-30,AMZN,192.72999572753906,192.72999572753906,195.61000061035156,194.6999969482422,37707600.0,2.0,1.4911586428746944,192.95923996750238,181.168764488064,57.64722020182277,154.66154285297364,14.416080137283494,188.0893341064453,182.20466690063478,19.329999923706055,4.959308240604375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2024-10-30,CRM,295.1297607421875,296.3999938964844,299.5400085449219,297.07000732421875,2826500.0,2.0,6.078140967890192,297.319991845638,281.2820070557292,63.20321628800665,107.47880837503068,34.532690307906904,283.1493347167969,269.0108342488607,19.329999923706055,4.959308240604375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2024-10-30,MSFT,430.0127258300781,432.5299987792969,438.5,437.44000244140625,29749100.0,2.0,2.235192292482566,434.7596774467043,407.1683193794676,55.39641062423314,109.73753188685599,5.770996116659326,424.6896647135417,420.5798319498698,19.329999923706055,4.959308240604375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2024-10-30,NFLX,753.739990234375,753.739990234375,759.7899780273438,758.0800170898438,1722000.0,2.0,15.201865155500286,780.1105798283286,686.537424322062,60.73764754735113,101.13602275414532,23.72086676794474,725.5636678059896,700.353667195638,19.329999923706055,4.959308240604375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2024-10-31,AAPL,225.11868286132812,225.91000366210938,229.8300018310547,229.33999633789062,64370100.0,3.0,1.54875186291315,237.6645857545728,223.63941357404045,52.710029527832575,-43.39368268100554,2.900106463829704,229.6759994506836,226.16650060017903,21.440000534057617,20.478095369009292,2.0,1.0,1.0,1.0,1.0,1.0,0.0
64,2024-10-31,AMZN,186.39999389648438,186.39999389648438,190.60000610351562,190.50999450683594,75146800.0,3.0,1.5149943202022484,193.20553318006353,181.66847042101068,54.02845184628909,18.633796826638036,5.209900517224763,188.1050008138021,182.60400009155273,21.440000534057617,20.478095369009292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2024-10-31,CRM,290.1213073730469,291.3699951171875,296.0899963378906,292.6000061035156,4301800.0,3.0,5.778680218740021,296.48251300140134,283.48048748687995,60.056600791520104,70.53476055164637,29.21292343450673,284.212001546224,269.84400100708007,21.440000534057617,20.478095369009292,0.0,0.0,0.0,0.0,0.0,0.0,0.0
