time/iterations,train/reward,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/std,train/explained_variance,train/policy_gradient_loss,train/approx_kl
18,2.596021,36864,2198,16,0.037841796875,-1.4105869077146054,28.524339538812637,170,0.00025,0.2,15.747396469116211,0.9883406758308411,0.16255146265029907,-0.0031655433820560576,0.006694692
19,-0.2506863,38912,2194,17,0.0109375,-1.407683401554823,17.56917341351509,180,0.00025,0.2,11.830960273742676,0.9883891940116882,0.21457558870315552,-0.002117941124015488,0.0039078183
20,-0.67706263,40960,2190,18,0.000341796875,-1.407803336530924,25.670077139139174,190,0.00025,0.2,11.099710464477539,0.9895283579826355,0.2553035020828247,-0.0004268193995812908,0.0004842186
21,0.59099317,43008,2193,19,0.000390625,-1.4086494900286197,24.80330894589424,200,0.00025,0.2,17.087797164916992,0.9898180961608887,0.3588103652000427,-0.0019944429310271516,0.00091947726
22,1.0772364,45056,2193,20,0.001708984375,-1.409061186760664,29.30123496055603,210,0.00025,0.2,17.769033432006836,0.9919258952140808,0.32410818338394165,-0.001129437163763214,0.0018468321
23,-0.042454187,47104,2187,21,0.015234375,-1.4098770461976529,28.147109591960906,220,0.00025,0.2,8.26053524017334,0.9911407828330994,0.29977530241012573,-0.0012319239380303771,0.0015446149
24,0.631266,49152,2184,22,0.00029296875,-1.4098935738205909,21.613866251707076,230,0.00025,0.2,14.617666244506836,0.9904360175132751,0.35630297660827637,-0.0004128848508116789,0.00039390594
25,0.5276857,51200,2181,23,0.0,-1.4094082325696946,38.80865287780762,240,0.00025,0.2,21.399911880493164,0.9903427958488464,0.3452799916267395,-0.0005761681626609061,0.00036794756
26,3.783863,53248,2183,24,0.003369140625,-1.4110223412513734,22.69572536945343,250,0.00025,0.2,12.264336585998535,0.9935876131057739,0.4091358780860901,-0.0005317991017363966,0.000999331
27,7.1897564,55296,2185,25,0.01650390625,-1.4118978917598723,25.428154438734055,260,0.00025,0.2,11.787116050720215,0.9931761026382446,0.31884533166885376,-0.001487843386712484,0.004097038
28,-0.22836785,57344,2187,26,0.061376953125,-1.4119017131626606,32.19338449537754,270,0.00025,0.2,6.00502347946167,0.9930695295333862,0.33440274000167847,-0.004418329177133274,0.006565677
29,-0.405499,59392,2190,27,0.001220703125,-1.412114741653204,28.20513836145401,280,0.00025,0.2,16.960474014282227,0.9931096434593201,0.3838939666748047,-0.0006902356341015548,0.0009510738
30,-0.15665384,61440,2190,28,0.01064453125,-1.4116187982261181,47.001321089267734,290,0.00025,0.2,8.654165267944336,0.9924103617668152,0.3638956546783447,-0.0018261343051563018,0.0040284693
31,-1.1924624,63488,2188,29,0.001416015625,-1.4126314580440522,41.25135750770569,300,0.00025,0.2,15.349241256713867,0.9948968887329102,0.5167209208011627,-0.001641482752165757,0.000970514
32,-0.051339835,65536,2187,29,0.002001953125,-1.4135895654559136,34.87570123672485,310,0.00025,0.2,14.084687232971191,0.9947676062583923,0.5030052959918976,-0.0012917540356284008,0.0006352494
33,1.9160695,67584,2189,30,0.0109375,-1.4116714358329774,18.17187967300415,320,0.00025,0.2,4.953000068664551,0.9891387820243835,0.5627662837505341,-0.0013360667726374231,0.0024836091
