time/iterations,train/reward,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/std,train/explained_variance,train/policy_gradient_loss,train/approx_kl
144,0.7396132,294912,2151,137,0.0529296875,-1.245312262326479,28.752277207374572,1430,0.00025,0.2,10.313057899475098,0.8408849239349365,0.919644758105278,-0.0021502429357497022,0.007120628
145,-1.1554799,296960,2151,137,0.084521484375,-1.244837611913681,21.072084254026414,1440,0.00025,0.2,6.30138635635376,0.8395187854766846,0.9137049242854118,-0.002877871133387089,0.008113412
146,0.75912684,299008,2152,138,0.068798828125,-1.239148172736168,17.870897656679155,1450,0.00025,0.2,23.22289276123047,0.8316545486450195,0.8951303660869598,-0.0008972100476967171,0.008245427
147,-1.1353496,301056,2149,140,0.07158203125,-1.2320424176752567,27.49656984806061,1460,0.00025,0.2,12.79715347290039,0.8269263505935669,0.9312192052602768,-0.002938530441315379,0.007818496
148,0.3860603,303104,2149,141,0.020556640625,-1.2275636814534665,31.616985499858856,1470,0.00025,0.2,5.416754245758057,0.8254265189170837,0.8865580931305885,-0.0006142775077023543,0.002203424
149,-0.60625505,305152,2149,141,0.0521484375,-1.2270879663527012,21.689032524824142,1480,0.00025,0.2,19.472915649414062,0.8258487582206726,0.927508071064949,-0.0023227257741382347,0.006847993
150,-0.10568906,307200,2148,142,0.04736328125,-1.2285794973373414,27.013238286972047,1490,0.00025,0.2,6.866749286651611,0.8261545300483704,0.9024841338396072,-0.0027014954248443246,0.006307858
151,-1.1146084,309248,2149,143,0.085009765625,-1.232181264460087,21.033092349767685,1500,0.00025,0.2,7.13761568069458,0.8348820805549622,0.8751532733440399,-0.0038598868559347466,0.00879608
152,0.55640924,311296,2149,144,0.05419921875,-1.2364048711955546,23.355588388442992,1510,0.00025,0.2,6.026361465454102,0.8311223983764648,0.9175310134887695,-0.0016313563188305124,0.0060992236
153,-1.8947555,313344,2150,145,0.0609375,-1.2345705129206181,19.6589026927948,1520,0.00025,0.2,6.499361038208008,0.8305860757827759,0.9124055579304695,-0.0011358912088326178,0.0063165464
154,3.788543,315392,2150,146,0.030029296875,-1.2358804479241372,20.7509922683239,1530,0.00025,0.2,7.894393444061279,0.8354833126068115,0.9247620478272438,0.0002327921145479195,0.0027166149
155,0.98067313,317440,2149,147,0.07060546875,-1.2382229171693324,15.140002313256264,1540,0.00025,0.2,5.862617015838623,0.8347494602203369,0.9077639207243919,0.0010266870202030986,0.014657481
156,-0.0066808076,319488,2149,148,0.043212890625,-1.2379276558756829,18.376290106773375,1550,0.00025,0.2,11.414204597473145,0.835278332233429,0.929657906293869,-0.001228139825980179,0.0039535323
157,2.7102864,321536,2149,149,0.038037109375,-1.2446468092501164,20.240815711021423,1560,0.00025,0.2,11.339125633239746,0.8459455966949463,0.9252383038401604,-0.0008763572783209384,0.0056223418
158,-0.9518183,323584,2149,150,0.034814453125,-1.2547511622309684,22.197855013608933,1570,0.00025,0.2,6.694813251495361,0.8495780229568481,0.9251905083656311,-0.0009173342565190979,0.0035186182
159,0.052774984,325632,2150,151,0.04248046875,-1.246988271921873,22.578064864873888,1580,0.00025,0.2,6.731320858001709,0.8356482982635498,0.9242481589317322,-0.0033742718864232303,0.0052040364
160,-0.85031277,327680,2150,152,0.04853515625,-1.2406432554125786,17.266010344028473,1590,0.00025,0.2,5.826468467712402,0.8381747603416443,0.8878127709031105,-0.002488864498445764,0.0068984465
161,8.81248,329728,2150,153,0.0494140625,-1.2439852230250836,17.96676446199417,1600,0.00025,0.2,13.29851245880127,0.8399015069007874,0.9211980551481247,-0.0014523998805088922,0.005338598
162,1.2252784,331776,2149,154,0.040673828125,-1.2451344959437847,21.348040813207625,1610,0.00025,0.2,12.747337341308594,0.8423509001731873,0.9309941157698631,-0.0011302367740427144,0.005531422
163,-2.3241963,333824,2149,155,0.063037109375,-1.2476445272564889,23.44340298771858,1620,0.00025,0.2,12.347597122192383,0.841463029384613,0.9097253903746605,-0.0018617196459672415,0.0061068097
164,-1.2518761,335872,2150,156,0.051123046875,-1.2450013175606727,14.644054043293,1630,0.00025,0.2,6.692961692810059,0.8389956951141357,0.9225094839930534,-0.002209679305087775,0.006161336
165,0.50952715,337920,2150,157,0.060546875,-1.2400623552501202,16.46348219513893,1640,0.00025,0.2,13.982932090759277,0.8335760831832886,0.9323656335473061,-0.00288920759485336,0.010298228
166,1.090051,339968,2150,158,0.02861328125,-1.2392399497330189,17.955476784706114,1650,0.00025,0.2,12.653965950012207,0.8367869853973389,0.9488122314214706,-0.0013141957635525614,0.0044008614
167,8.014255,342016,2150,159,0.07431640625,-1.242516676336527,16.43868206143379,1660,0.00025,0.2,6.215357303619385,0.83933025598526,0.9439902268350124,-0.005813424327061512,0.009328079
168,0.6077881,344064,2150,160,0.036376953125,-1.2434841364622116,16.68321802020073,1670,0.00025,0.2,13.583937644958496,0.8388645052909851,0.9413578063249588,-0.0019202149589546025,0.005844384
169,0.015139376,346112,2150,160,0.04765625,-1.2474203549325467,16.305083963274956,1680,0.00025,0.2,3.9966084957122803,0.8459351062774658,0.727132648229599,-0.002723496868566144,0.0067966366
170,2.1015778,348160,2151,161,0.05390625,-1.2506103806197644,21.922835779190063,1690,0.00025,0.2,6.466657638549805,0.8431378602981567,0.9193459078669548,-0.0024547654058551414,0.003758079
171,-1.1643536,350208,2151,162,0.051123046875,-1.2453254483640195,20.381129586696623,1700,0.00025,0.2,35.71597671508789,0.8384929895401001,0.9273295402526855,-0.004085169559402857,0.0063447515
172,12.644357,352256,2151,163,0.036767578125,-1.2455722272396088,18.525070291757583,1710,0.00025,0.2,22.646512985229492,0.8421182036399841,0.9341914802789688,-0.0013435000437311828,0.0071316697
173,0.005079698,354304,2151,164,0.059326171875,-1.2458467654883862,20.466982144117356,1720,0.00025,0.2,7.382038593292236,0.8411244750022888,0.9158782511949539,-0.001170825512963347,0.0045522833
174,-1.7476119,356352,2151,165,0.043115234375,-1.2498793937265873,20.087868186831475,1730,0.00025,0.2,5.0113630294799805,0.8455893993377686,0.9003545865416527,-0.0029893972096033394,0.0048519345
175,-0.6466302,358400,2151,166,0.02294921875,-1.2505964390933513,20.69755791425705,1740,0.00025,0.2,7.472138404846191,0.8445162177085876,0.9255324527621269,-0.0016513964917976409,0.002641316
176,4.00283,360448,2151,167,0.041162109375,-1.2506825350224973,18.257202926278115,1750,0.00025,0.2,4.618048667907715,0.8447586894035339,0.930167444050312,-0.0017674089234787972,0.003912506
177,-0.37416527,362496,2152,168,0.055859375,-1.247283323854208,18.833219867944717,1760,0.00025,0.2,5.306183815002441,0.8399790525436401,0.9362732023000717,-0.00349230217107106,0.0211721
178,0.5550086,364544,2152,169,0.07529296875,-1.2443235509097577,13.989043700695039,1770,0.00025,0.2,5.423223495483398,0.8402796983718872,0.9111171066761017,-0.002938037912826985,0.007557218
179,-0.46791855,366592,2152,170,0.057373046875,-1.2418455570936202,16.093332517147065,1780,0.00025,0.2,3.8633036613464355,0.8339118957519531,0.9377176463603973,-0.0017840446991613135,0.0066639557
180,2.697228,368640,2152,171,0.075390625,-1.239133559167385,18.627825689315795,1790,0.00025,0.2,6.5128583908081055,0.8360607028007507,0.9277604445815086,-0.0031503341160714626,0.008303316
181,-2.346787,370688,2151,172,0.043505859375,-1.2373518392443656,18.51253052353859,1800,0.00025,0.2,4.418835163116455,0.8308835029602051,0.9460871815681458,-0.0009779763175174593,0.006222362
182,1.0799506,372736,2151,173,0.083837890625,-1.238081856817007,14.470780637860297,1810,0.00025,0.2,6.603330612182617,0.8372093439102173,0.9394265897572041,-0.0038929158545215614,0.0068835155
183,1.7191188,374784,2152,174,0.041943359375,-1.2422000594437121,11.719690090417862,1820,0.00025,0.2,4.405044078826904,0.8373819589614868,0.9475659467279911,-0.004363877783180215,0.0047931075
184,0.089269064,376832,2152,175,0.045703125,-1.2447549745440483,16.169702181220053,1830,0.00025,0.2,4.025967597961426,0.8438675403594971,0.9387306272983551,-0.0009397644083946943,0.0030686492
185,-1.6803048,378880,2152,176,0.030419921875,-1.249612458795309,12.388398626446724,1840,0.00025,0.2,5.607656002044678,0.8428381681442261,0.9532721526920795,-0.002190327105927281,0.004351017
186,0.8778835,380928,2151,177,0.015478515625,-1.2468665897846223,17.279548028111456,1850,0.00025,0.2,3.631354808807373,0.8412225246429443,0.9493039548397064,-0.0012520914795459248,0.002592966
187,-0.0161385,382976,2152,177,0.03837890625,-1.2475327171385289,12.726687744259834,1860,0.00025,0.2,4.333740711212158,0.8451464176177979,0.9246908649802208,-0.0026599107892252504,0.0037451675
188,2.8261638,385024,2152,178,0.091015625,-1.2515684254467487,14.334351328015327,1870,0.00025,0.2,10.853814125061035,0.8457672595977783,0.9433778189122677,-0.0036608569324016573,0.008801508
189,-0.7816358,387072,2152,179,0.04541015625,-1.249096394330263,17.564433753490448,1880,0.00025,0.2,4.128360271453857,0.8411685228347778,0.941326417028904,-0.00106711062398972,0.005531668
190,0.25612596,389120,2152,180,0.0353515625,-1.2391603097319603,14.64327468276024,1890,0.00025,0.2,12.392988204956055,0.830089807510376,0.9569318406283855,-0.001817150285205571,0.0040131193
191,0.690905,391168,2152,181,0.044970703125,-1.2331028930842876,15.811542481184006,1900,0.00025,0.2,5.780230522155762,0.8298038840293884,0.9344054013490677,-0.0013834462966769933,0.005064953
192,-1.6478121,393216,2152,182,0.052587890625,-1.2387815862894058,12.734912994503976,1910,0.00025,0.2,4.633442401885986,0.8398565053939819,0.9413664638996124,-0.0013461305614328011,0.005880041
193,-0.43932155,395264,2153,183,0.042236328125,-1.2439086824655532,19.797099304199218,1920,0.00025,0.2,5.287221908569336,0.8385257720947266,0.9328221753239632,-0.004763902907143347,0.0053740675
194,-5.6304016,397312,2153,184,0.040380859375,-1.241921206563711,17.143346339464188,1930,0.00025,0.2,22.099782943725586,0.8374848961830139,0.9415450692176819,0.0002403455786406994,0.003051976
195,0.121031076,399360,2153,185,0.03310546875,-1.2431614883244038,17.826143193244935,1940,0.00025,0.2,12.864127159118652,0.8409057855606079,0.9411743804812431,-0.00037790568894706665,0.0023715247
196,1.7061872,401408,2153,186,0.064697265625,-1.2416807882487775,14.718125635385514,1950,0.00025,0.2,5.354655742645264,0.8338176012039185,0.9111313670873642,0.00020885636913590134,0.016778316
